scope,sub_scope,verb
Lesson,Abstract,POST
Lesson,Abstract,GET
Lesson,Abstract,PUT
Lesson,Abstract,DELETE
Lesson,Concrete,POST
Lesson,Concrete,GET
Lesson,Concrete,PUT
Lesson,Concrete,DELETE
Lesson,Concrete.Homework,POST
Lesson,Concrete.Homework,GET
Lesson,Concrete.Homework,PUT
Lesson,Concrete.Homework,DELETE
Groups,,POST
Groups,,GET
Groups,,PUT
Groups,,DELETE
User,Role,PUT
User,Role,DELETE
Periods,,PUT
Periods,,GET
Identity,,DELETE
Identity,,PUT
News,,PUT
News,,DELETE
News,Comments,POST
News,Comments,PUT
News,Comments,DELETE
